questionId,text,ageMonthMin,ageMonthMax,category,type,options,minCorrect,audio
L_001,"Bé có phản ứng gì với âm thanh tần số cao như tiếng chuông không?",0,3,receptive,yes-no,,,path/to/audio/player.png
L_002,"Bé có phát ra âm thanh nào không?",0,3,expressive,yes-no,,,
L_003,"Bé có tạo ra các âm ""o"", ""ô"", ""u"" hay ""a"" không",1,4,expressive,yes-no,,,
L_004,"Bé có cười thành tiếng không?",2,5,expressive,yes-no,,,
L_005,"Bé có réo cười không?",3,6,expressive,yes-no,,,
L_006,"Bé có quay đầu theo khi nghe thấy âm thanh như tiếng lục lạc, tiếng gọi không?",3,6,receptive,yes-no,,,
L_007,"Bé có quay đầu hướng về tiếng gọi không?",6,9,receptive,yes-no,,,
L_008,"Bé có nói được các âm tiết đơn như ""ba"", ""đa"", ""ma"" không?",6,9,expressive,yes-no,,,
L_009,"Bé có chủ động bắt chước âm nói của người lớn dù chưa chính xác không?",7,10,expressive,yes-no,,,
L_010,"Bé có nói được ""ba ba"", ""ma ma"" không?",8,12,expressive,yes-no,,,
L_011,"Bé có nói được ""ba ba ba"", ""ma ma ma"" (âm tiết từ 3 lần trở lên) không?",9,13,expressive,yes-no,,,
L_012,"Bé có nói bập bẹ không?",10,15,expressive,yes-no,,,
L_013,"Bé có nói ""ba ba"", ""ma ma"" với ba mẹ không?",11,15,expressive,yes-no,,,
L_014,"Bé có nói được 1 từ đơn không?",12,18,expressive,yes-no,,,
L_MCQ_01,"Ba mẹ cho bé nhìn hình và đọc ngẫu nhiên tên hình để bé tự chỉ. Sau đó ấn chọn những hình bé chỉ được nhé:",15,24,receptive,multiple,"[""Con mèo"",""Con ngựa"",""Con chim"",""Con chó"",""Em bé""]",2,
L_MCQ_02,"Ba mẹ chỉ vào hình và cho bé tự đọc tên. Sau đó ấn chọn những ô bé đọc được:",18,24,expressive,multiple,"[""Con mèo"",""Con ngựa"",""Con chim"",""Con chó"",""Em bé""]",2,
L_015,"Bé có nói được 2 từ đơn không?",16,24,expressive,yes-no,,,
L_016,"Bé có nói được 3 từ đơn không?",18,24,expressive,yes-no,,,
L_MCQ_03,"Ba mẹ gọi tên các bộ phận trên cơ thể (hoặc búp bê) và yêu cầu bé chỉ. Bé chỉ được những bộ phận nào?",18,24,receptive,multiple,"[""Mắt"",""Mũi"",""Tai"",""Miệng"",""Tay"",""Chân"",""Bụng"",""Tóc""]",3,
L_017,"Bé có nói được 6 từ đơn không?",18,30,expressive,yes-no,,,
L_018,"Bé có nói được câu gồm 2 từ không?",20,30,expressive,yes-no,,,
L_019,"Những người ít tiếp xúc với bé có hiểu được lời bé nói không?",20,30,expressive,yes-no,,,
L_020,"Bé có trả lời khi được yêu cầu kể tên 1 màu sắc không?",24,36,receptive,yes-no,,,
L_021,"Bé có trả lời đúng khi được hỏi ""Cái này là gì?"" về các hình ảnh không?",24,36,receptive,yes-no,,,
L_024,"Bé có hiểu các khái niệm về số lượng như ""một"", ""hai"", ""nhiều"" không?",24,36,receptive,yes-no,,,
L_022,"Bé có kể tên được 4 màu sắc không?",30,42,expressive,yes-no,,,
L_023,"Bé có hiểu các khái niệm về kích thước như ""to"", ""nhỏ"" không?",30,42,receptive,yes-no,,,
L_025,"Bé có nói được câu đơn gồm 3-4 từ không?",30,42,expressive,yes-no,,,
L_CC_01,"Bé trả lời được các câu hỏi: Con làm gì khi lạnh? (mặc áo, đắp chăn), khi mệt? (ngủ, nghỉ), khi đói? (ăn, uống sữa).",36,48,expressive,multiple,"[""Khi lạnh"",""Khi mệt"",""Khi đói""]",2,
L_CC_02,"Bé biết công dụng của: Cái cốc (uống nước), Cái ghế (ngồi), Cái bút chì (viết/vẽ) không?",36,48,expressive,multiple,"[""Cái cốc"",""Cái ghế"",""Cái bút chì""]",2,
L_CC_04,"Bé có làm theo được các mệnh lệnh về vị trí (đặt bút trên bàn, dưới bàn, trước mặt, sau lưng)?",40,54,receptive,multiple,"[""Trên bàn"",""Dưới bàn"",""Trước mặt"",""Sau lưng""]",2,
L_CC_05,"Bé có trả lời được các câu đối lập: Con voi to - con chuột...; Lửa nóng - nước đá...; Ban ngày sáng - ban đêm...?",42,60,expressive,multiple,"[""Voi/Chuột"",""Lửa/Nước đá"",""Ngày/Đêm""]",2,
